compound_name,generic_name,indication_name,therapeutic_area,phase,filing_date,mechanism_of_action,indication_type
LNP023,Fabhalta®,iAMD,Others,Phase 2,,CFB inhibitor,
LOU064,Rhapsido®,"Chronic spontaneous urticaria, pediatrics",Immunology,Phase 3,,BTK inhibitor,
LOU064,Rhapsido®,Hidradenitis suppurativa,Immunology,Phase 3,2027,BTK inhibitor,Supplementary Indication
LOU064,Rhapsido®,Chronic inducible urticaria (CINDU),Immunology,Phase 3,2026,BTK inhibitor,Supplementary Indication
LOU064,Rhapsido®,Food allergy,Immunology,Phase 2,≥ 2029,BTK inhibitor,Supplementary Indication
LOU064,remibrutinib,"Multiple sclerosis, secondary progressive",Neuroscience,Phase 3,≥ 2029,BTK inhibitor,Supplementary Indication
LOU064,remibrutinib,Myasthenia gravis,Neuroscience,Phase 3,2028,BTK inhibitor,Supplementary Indication
LOU064,remibrutinib,"Multiple sclerosis, relapsing remitting",Neuroscience,Phase 3,2027,BTK inhibitor,Supplementary Indication
LTP001,LTP001,Idiopathic pulmonary fibrosis,"Cardiovascular, Renal and Metabolic",Phase 2,,SMURF1 inhibitor,
LTP001,LTP001,Pulmonary arterial hypertension,"Cardiovascular, Renal and Metabolic",Phase 2,≥ 2029,SMURF1 inhibitor,Lead Indication
LXE408,LXE408,Chagas,In-market Brands and Global Health,Phase 2,,Proteasome inhibitor,
LXE408,LXE408,Visceral leishmaniosis,In-market Brands and Global Health,Phase 2,≥ 2029,Proteasome inhibitor,Lead Indication
MAA868,abelacimab,Atrial fibrillation,"Cardiovascular, Renal and Metabolic",Phase 3,2028,FXI inhibitor,Lead Indication
MAS825,MAS825,Still’s disease,Immunology,Phase 2,,"IL18 Inhibitor, IL1B",Lead Indication
NIO752,NIO752,Progressive supranuclear palsy,Neuroscience,Phase 1,,Tau antisense oligonucleotide,Lead Indication
NIO752,NIO752,Alzheimer’s disease,Neuroscience,Phase 1,,Tau antisense oligonucleotide,
OJR520,OJR520,CKD,"Cardiovascular, Renal and Metabolic",Phase 1,,,Lead Indication
OMB157,Kesimpta®,"Multiple sclerosis, new dosing regimen",Neuroscience,Phase 3,2027,CD20 antagonist,Supplementary Indication
OMB157,Kesimpta®,"Multiple sclerosis, pediatrics",Neuroscience,Phase 3,2026,CD20 antagonist,Supplementary Indication
PAC001,PAC001,ASCVD,"Cardiovascular, Renal and Metabolic",Phase 2,≥ 2029,Anti-IL-6 mAb,Lead Indication
PAC001,PAC001,Thyroid eye disease (TED),Others,Phase 2,,Anti-IL-6 mAb,
PIT565,PIT565,Systemic lupus erythematosus,Immunology,Phase 1,,"Anti-CD19, Anti-CD2, Anti-CD3",
PIT565,PIT565,Rheumatoid arthritis,Immunology,Phase 1,,"Anti-CD19, Anti-CD2, Anti-CD3",
PKC412,Rydapt®,"Acute myeloid leukemia, pediatrics",In-market Brands and Global Health,Phase 2,2027,Multi-targeted kinase inhibitor,Supplementary Indication
PKN605,PKN605,Atrial Fibrillation,"Cardiovascular, Renal and Metabolic",Phase 2,,HDAC6 Inhibitor,Lead Indication
QCZ484,QCZ484,Hypertension,"Cardiovascular, Renal and Metabolic",Phase 2,≥ 2029,,Lead Indication
QMF149,Atectura®,"Asthma, pediatrics",In-market Brands and Global Health,Phase 3,≥ 2029,LABA + ICS,Supplementary Indication
SEG101,Adakveo®,"Sickle cell disease, pediatrics",In-market Brands and Global Health,Phase 3,≥ 2029,P-selectin inhibitor,Supplementary Indication
TIN816,TIN816,Acute kidney injury,"Cardiovascular, Renal and Metabolic",Phase 2,,ATP modulator,Lead Indication
TQJ230,pelacarsen,CVRR (secondary prevention) in patients with elevated Lp(a),"Cardiovascular, Renal and Metabolic",Phase 3,2026,ASO targeting Lp(a),Lead Indication
VAY736,ianalumab,Systemic lupus erythematosus (SLE),Immunology,Phase 3,2028,"BAFF-R inhibitor, ADCC-mediated B-cell depletor",Supplementary Indication
VAY736,ianalumab,Lupus Nephritis,Immunology,Phase 3,2028,"BAFF-R inhibitor, ADCC-mediated B-cell depletor",Supplementary Indication
VAY736,ianalumab,Systemic sclerosis,Immunology,Phase 2,2028,"BAFF-R inhibitor, ADCC-mediated B-cell depletor",Supplementary Indication
VAY736,ianalumab,Sjögren’s disease,Immunology,Registration,2026,"BAFF-R inhibitor, ADCC-mediated B-cell depletor",Lead Indication
VAY736,ianalumab,1L Immune Thrombocytopenia,Oncology: Hematology,Phase 3,2027,"BAFF-R inhibitor, ADCC-mediated B-cell depletor",Supplementary Indication
VAY736,ianalumab,2L Immune Thrombocytopenia,Oncology: Hematology,Phase 3,2027,"BAFF-R inhibitor, ADCC-mediated B-cell depletor",Supplementary Indication
VAY736,ianalumab,warm Autoimmune Hemolytic Anemia,Oncology: Hematology,Phase 3,2027,"BAFF-R inhibitor, ADCC-mediated B-cell depletor",Supplementary Indication
VHB937,VHB937,Amyotrophic lateral sclerosis,Neuroscience,Phase 2,≥ 2029,TREM2 stabilizer and activator,Lead Indication
VHB937,VHB937,Alzheimer's disease,Neuroscience,Phase 2,≥ 2029,TREM2 stabilizer and activator,Supplementary Indication
