name,phase_badges,description,therapeutic_area,indication,collaboration,notes,expected_submission_timeline,aria_label_name,aria_label_indication
SAR446523,1,GPRC5D mAb,Oncology,Relapsed/refractory multiple myeloma,,,Not available yet,SAR446523,Relapsed/refractory multiple myeloma
SAR445877,2,PD1xIL15 fusion protein,Oncology,Solid tumors,,Also known as KD050,Not available yet,SAR445877,Solid tumors
Sarclisa,2,CD38 mAb,Oncology,Relapsed/refractory multiple myeloma in combination,,,Not available yet,Sarclisa in Relapsed/refractory multiple myeloma,combination
Sarclisa,3,CD38 mAb,Oncology,"NDMM, TE (IsKia)",,,Not available yet,Sarclisa,"NDMM, TE (IsKia)"
Sarclisa,3,CD38 mAb,Oncology,Smoldering multiple myeloma (ITHACA),,,Not available yet,Sarclisa,Smoldering multiple myeloma (ITHACA)
Sarclisa,3,CD38 mAb,Oncology,"NDMM, TE (HD7)",,Approved in EU,Not available yet,Sarclisa,"NDMM, TE (HD7)"
Sarclisa,R,CD38 mAb subcutaneous,Oncology,Multiple myeloma,,,In review,Sarclisa,Multiple myeloma
SAR446268,1,DMPK AAV gene therapy,Rare Diseases,Myotonic dystrophy type 1,,,Not available yet,SAR446268,Myotonic dystrophy type 1
efdoralprin alfa,2,AAT fusion protein,Rare Diseases,Alpha-1 antitrypsin deficiency emphysema,,Also known as SAR447537 and formerly known as INBRX-101,2026,efdoralprin alfa,Alpha-1 antitrypsin deficiency emphysema
"frexalimab, rilzabrutinib, brivekimig",2,"CD40L mAb, BTK inhibitor, TNFaxOX40L Nanobody® VHH",Rare Diseases,Focal segmental glomerulosclerosis / minimal change disease,,,Not available yet,"frexalimab, rilzabrutinib, brivekimig",Focal segmental glomerulosclerosis / minimal change disease
Wayrilz,2,BTK inhibitor,Rare Diseases,Graves' disease,,,Not available yet,Wayrilz,Graves' disease
elenestinib,3,D816V-mutated KIT inhibitor,Rare Diseases,Indolent/smoldering systemic mastocytosis,,,Not available yet,elenestinib,Indolent/smoldering systemic mastocytosis
fitusiran,3,RNAi targeting antithrombin,Rare Diseases,"Hemophilia A and B (EU, JP)",,,2027,fitusiran,"Hemophilia A and B (EU, JP)"
Nexviazyme,3,Enzyme replacement therapy,Rare Diseases,Infantile-onset Pompe disease,,,2026,Nexviazyme,Infantile-onset Pompe disease
venglustat,3,Oral GCS inhibitor,Rare Diseases,Fabry disease,,,Not available yet,venglustat,Fabry disease
venglustat,3,Oral GCS inhibitor,Rare Diseases,Gaucher disease type 3,,,2026,venglustat,Gaucher disease type 3
Wayrilz,3,BTK inhibitor,Rare Diseases,IgG4-related disease,,,Not available yet,Wayrilz,IgG4-related disease
Wayrilz,3,BTK inhibitor,Rare Diseases,Sickle cell disease,,,Not available yet,Wayrilz,Sickle cell disease
Wayrilz,3,BTK inhibitor,Rare Diseases,Warm autoimmune hemolytic anemia,,,Not available yet,Wayrilz,Warm autoimmune hemolytic anemia 
Wayrilz,R,BTK inhibitor,Rare Diseases,Immune thrombocytopenia (JP),,,In review,Wayrilz,Immune thrombocytopenia (JP)
SP0269,1,mRNA vaccine,Vaccines,Chlamydia,,,Not available yet,SP0269,Chlamydia
SP0287,1,Flublok+Nuvaxovid,Vaccines,Flu+COVID-19,,,Not available yet,SP0287,Flu+COVID-19
SP0287,1,Fluzone HD+Nuvaxovid,Vaccines,Flu+COVID-19,,,Not available yet,SP0287,Flu+COVID-19
SP0291,1,mRNA vaccine,Vaccines,RSV+hMPV+PIV3 (older adults),,,Not available yet,SP0291,RSV+hMPV+PIV3 (older adults)
SP0340,1,Subunit vaccine,Vaccines,RSV+hMPV (older adults),,Also known as VXB-251,Not available yet,SP0340,RSV+hMPV (older adults)
SP0341,1,Subunit vaccine,Vaccines,RSV+hMPV+PIV3 (older adults),,Also known as VXB-351,Not available yet,SP0341,RSV+hMPV+PIV3 (older adults)
SP0342,1,Subunit adjuvanted vaccine,Vaccines,Shingles,,Also known as Z-1018,Not available yet,SP0342,Shingles
SP0256,2,mRNA vaccine,Vaccines,RSV+hMPV (older adults),,,Not available yet,SP0256,RSV+hMPV (older adults)
SP0268,2,mRNA vaccine,Vaccines,Acne,,,Not available yet,SP0268, Acne
SP0289,2,mRNA vaccine,Vaccines,Flu H5 pandemic,,,Not available yet,SP0289,Flu H5 pandemic
SP0335,2,Inactivated adjuvanted vaccine,Vaccines,Flu H5 pandemic,,,Not available yet,SP0335,Flu H5 pandemic 
SP0087,3,Vero cell vaccine,Vaccines,Rabies,,,In review in EU,SP0087,Rabies
SP0202,3,21-valent conjugate vaccine,Vaccines,Pneumococcal disease (children),Developed in collaboration with SK Bioscience,,Not available yet,SP0202,Pneumococcal disease (children)
SP0218,3,Vero cell vaccine,Vaccines,Yellow fever,,,2027,SP0218,Yellow fever
Fluzone HD,R,Multivalent inactivated vaccine,Vaccines,"Flu (50 years+) (US, EU)",,Also known as SP0178,In review,Fluzone HD,"Flu (50 years+) (US, EU)"
